source_id,series_id,region,date,value,unit,retrieved_at,licence_id
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-01-01,0.83,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-02-01,0.84,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-03-01,0.83,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-04-01,0.81,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-05-01,0.81,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-06-01,0.8,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-07-01,0.78,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-08-01,0.81,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-09-01,0.9,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-10-01,1.04,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-11-01,1.02,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1969-12-01,1.05,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-01-01,1.14,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-02-01,1.15,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-03-01,1.17,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-04-01,1.2,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-05-01,1.22,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-06-01,1.21,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-07-01,1.21,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-08-01,1.18,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-09-01,1.16,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-10-01,1.12,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-11-01,1.03,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1970-12-01,0.98,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-01-01,1.0,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-02-01,0.98,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-03-01,1.01,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-04-01,0.99,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-05-01,1.02,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-06-01,1.0,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-07-01,0.99,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
worldbank_pink_sheet,COFFEE_ARABIC,global,1971-08-01,1.01,$/kg,2026-09-08T08:09:02Z,CC-BY-4.0
